,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
3954,(500) Days of Summer,7500000,32425665,34439060,66864725,59364725
4253,10 Cloverfield Lane,5000000,72082999,108286422,180369421,175369421
3262,10 Things I Hate About You,13000000,38177966,60413950,98591916,85591916
350,"10,000 B.C.",105000000,94784201,269065678,363849879,258849879
505,102 Dalmatians,85000000,66941559,66941559,133883118,48883118
2017,12 Monkeys,29000000,57141459,168841459,225982918,196982918
2636,12 Rounds,20000000,12234694,17306648,29541342,9541342
1663,12 Strong,35000000,45819713,71118378,116938091,81938091
2517,12 Years a Slave,20000000,56671993,181025343,237697336,217697336
2805,127 Hours,18000000,18335230,60217171,78552401,60552401
1595,13 Going On 30,37000000,57139723,97658712,154798435,117798435
1129,13 Hours: The Secret Soldiers of Benghazi,50000000,52853219,69411370,122264589,72264589
2401,1408,22500000,71985628,131263370,203248998,180748998
1359,15 Minutes,42000000,24375436,56331864,80707300,38707300
1292,16 Blocks,45000000,36895141,65595141,102490282,57490282
1419,17 Again,40000000,64167069,139474906,203641975,163641975
1803,1941,32000000,34175000,94875000,129050000,97050000
622,2 Fast 2 Furious,76000000,127120058,236410607,363530665,287530665
2585,2 For the Money,20000000,22991379,30491379,53482758,33482758
838,2 Guns,61000000,75612460,132493015,208105475,147105475
5708,20 Dates,66000,541636,602920,1144556,1078556
5236,20 Feet From Stardom,1000000,4946250,5892466,10838716,9838716
4270,"20,000 Leagues Under the Sea",5000000,28200000,28200000,56400000,51400000
4150,200 Cigarettes,6000000,6852450,6852450,13704900,7704900
3526,2001: A Space Odyssey,10500000,59936321,71928046,131864367,121364367
58,2012,200000000,166112167,757677748,923789915,723789915
4812,2016: Obamaâs America,2500000,33349941,33349941,66699882,64199882
3430,2046,12000000,1442338,19287485,20729823,8729823
1638,21,35000000,81159365,159846429,241005794,206005794
2612,21 Grams,20000000,16248701,59667625,75916326,55916326
1343,21 Jump Street,42000000,138447667,202812429,341260096,299260096
3269,21 and Over,13000000,25682380,42195766,67878146,54878146
1084,22 Jump Street,50000000,191719337,331333876,523053213,473053213
5263,23 Blast,1000000,549185,549185,1098370,98370
4428,25th Hour,4500000,13084595,25344490,38429085,33929085
